Filename;Sample_name_researcher;SampleType;Extraction date;Measurment date;Plant_sp;Test_date;Treatment;Time_exposed;Subsample;Wet_weight_mg;Remaks
X250924_EI_QC_1_nr8.mzML.Peak.area;QC1;QC;24.09.2025;24.09.2025;;;;;;;
X250924_EI_QC_2_nr8.mzML.Peak.area;QC2;QC;24.09.2025;24.09.2025;;;;;;;
X250924_EI_QC_3_nr8.mzML.Peak.area;QC3;QC;24.09.2025;24.09.2025;;;;;;;
X250924_EI_QC_4_nr8.mzML.Peak.area;QC4;QC;24.09.2025;24.09.2025;;;;;;;
X250924_EI_QC_5_nr8.mzML.Peak.area;QC5;QC;24.09.2025;24.09.2025;;;;;;;
X250924_EI_sample_10_nr8.mzML.Peak.area;10;sample;24.09.2025;24.09.2025;M. aquaticum;27.08.2025;Test;24h;10;121;
X250924_EI_sample_11_nr8.mzML.Peak.area;11;sample;24.09.2025;24.09.2025;M. aquaticum;27.08.2025;Test;24h;11;130;M. aquaticum canada
X250924_EI_sample_12_nr8.mzML.Peak.area;12;sample;24.09.2025;24.09.2025;M. aquaticum;27.08.2025;Test;24h;12;129;M. aquaticum canada
X250924_EI_sample_13_nr8.mzML.Peak.area;13;sample;24.09.2025;24.09.2025;M. aquaticum;27.08.2025;Control;24h;13;129;
X250924_EI_sample_14_nr8.mzML.Peak.area;14;sample;24.09.2025;24.09.2025;M. aquaticum;27.08.2025;Control;24h;14;124.2;
X250924_EI_sample_15_nr8.mzML.Peak.area;15;sample;24.09.2025;24.09.2025;M. aquaticum;27.08.2025;Control;24h;15;127.1;
X250924_EI_sample_16_nr8.mzML.Peak.area;16;sample;24.09.2025;24.09.2025;M. aquaticum;27.08.2025;Control;24h;16;124.88;
X250924_EI_sample_17_nr8.mzML.Peak.area;17;sample;24.09.2025;24.09.2025;M. aquaticum;27.08.2025;Control;24h;17;130;
X250924_EI_sample_18_nr8.mzML.Peak.area;18;sample;24.09.2025;24.09.2025;M. aquaticum;27.08.2025;Control;24h;18;127.3;
X250924_EI_sample_19_nr8.mzML.Peak.area;19;sample;24.09.2025;24.09.2025;M. aquaticum;27.08.2025;Control;24h;19;126.7;
X250924_EI_sample_1_nr8.mzML.Peak.area;1;sample;24.09.2025;24.09.2025;M. aquaticum;27.08.2025;Test;24h;1;122.2;
X250924_EI_sample_20_nr8.mzML.Peak.area;20;sample;24.09.2025;24.09.2025;M. aquaticum;27.08.2025;Control;24h;20;130;
X250924_EI_sample_21_nr8.mzML.Peak.area;21;sample;24.09.2025;24.09.2025;M. aquaticum;27.08.2025;Control;24h;21;121.2;
X250924_EI_sample_22_nr8.mzML.Peak.area;22;sample;24.09.2025;24.09.2025;M. aquaticum;27.08.2025;Control;24h;22;135.4;
X250924_EI_sample_23_nr8.mzML.Peak.area;23;sample;24.09.2025;24.09.2025;M. aquaticum;27.08.2025;Control;24h;23;124.4;M. aquaticum canada
X250924_EI_sample_24_nr8.mzML.Peak.area;24;sample;24.09.2025;24.09.2025;M. aquaticum;27.08.2025;Control;24h;24;124.5;M. aquaticum canada
X250924_EI_sample_25_nr8.mzML.Peak.area;25;sample;24.09.2025;24.09.2025;M. aquaticum;28.08.2025;Test;120h;25;112.5;
X250924_EI_sample_26_nr8.mzML.Peak.area;26;sample;24.09.2025;24.09.2025;M. aquaticum;28.08.2025;Test;120h;26;116;
X250924_EI_sample_27_nr8.mzML.Peak.area;27;sample;24.09.2025;24.09.2025;M. aquaticum;28.08.2025;Test;120h;27;119.1;
X250924_EI_sample_28_nr8.mzML.Peak.area;28;sample;24.09.2025;24.09.2025;M. aquaticum;28.08.2025;Test;120h;28;133.3;
