filename;mzmine_sample_type;run_date;correct_name;Date_exp;Plant_species;Exposure_time;Treatment;Wet_weight;Quantity_for_extraction;;;Survival
20260202_Elena_sample_H1.2.mzML;sample;2026-02-02T18:23:09;20260202_Elena_sample_H1.2.mzML;15.01.2026;M. aquaticum;120h;Herbivory 1 day;163.7;16;;3;
20260202_Elena_blank.mzML;blank;2026-02-03T09:26:39;;;;;;;;;;
20260202_Elena_QC_4.mzML;qc;2026-02-03T04:34:53;;;;;;;;;;
20260202_Elena_QC_3.mzML;qc;2026-02-03T00:06:13;;;;;;;;;;
20260202_Elena_QC_5.mzML;qc;2026-02-03T09:37:12;;;;;;;;;;
20260202_Elena_sample_H1.1.mzML;sample;2026-02-02T18:12:33;20260202_Elena_sample_H1.1.mzML;15.01.2026;M. aquaticum;120h;Herbivory 1 day;227.5;15;;;
20260202_Elena_QC_2.mzML;qc;2026-02-02T19:47:50;;;;;;;;;;
20260202_Elena_QC_1.mzML;qc;2026-02-02T15:52:52;;;;;;;;;;
20260202_Elena_sample_H1.6.mzML;sample;2026-02-02T19:05:28;20260202_Elena_sample_H1.6.mzML;15.01.2026;M. aquaticum;120h;Herbivory 1 day;172.5;14;;9;
20260202_Elena_sample_H1.5.mzML;sample;2026-02-02T18:54:54;20260202_Elena_sample_H1.5.mzML;15.01.2026;M. aquaticum;120h;Herbivory 1 day;135.7;10;;2;
20260202_Elena_sample_H1.4.mzML;sample;2026-02-02T18:44:19;20260202_Elena_sample_H1.4.mzML;15.01.2026;M. aquaticum;120h;Herbivory 1 day;240;14;;3;
20260202_Elena_sample_H1.8.mzML;sample;2026-02-02T19:26:40;20260202_Elena_sample_H1.8.mzML;15.01.2026;M. aquaticum;120h;Herbivory 1 day;211;13;;1;
20260202_Elena_sample_H1.3.mzML;sample;2026-02-02T18:33:45;20260202_Elena_sample_H1.3.mzML;15.01.2026;M. aquaticum;120h;Herbivory 1 day;187.7;13;;9;
20260202_Elena_sample_H1.7.mzML;sample;2026-02-02T19:16:05;20260202_Elena_sample_H1.7.mzML;15.01.2026;M. aquaticum;120h;Herbivory 1 day;190.4;10;;3;
20260202_Elena_sample_H1.9.mzML;sample;2026-02-02T19:37:15;20260202_Elena_sample_H1.9.mzML;15.01.2026;M. aquaticum;120h;Herbivory 1 day;220;7;;;
20260202_Elena_sample_H1.10.mzML;sample;2026-02-02T19:58:25;20260202_Elena_sample_H1.10.mzML;15.01.2026;M. aquaticum;120h;Herbivory 1 day;134.2;14;;8;
20260202_Elena_sample_H1.12.mzML;sample;2026-02-02T20:21:42;20260202_Elena_sample_H1.12.mzML;15.01.2026;M. aquaticum;120h;Herbivory 1 day;112.2;11;;3;
20260202_Elena_sample_H5.1.mzML;sample;2026-02-02T20:32:18;20260202_Elena_sample_H5.1.mzML;15.01.2026;M. aquaticum;120h;Herbivory 5 days;188.4;12;;9;
20260202_Elena_sample_H1.11.mzML;sample;2026-02-02T20:11:07;20260202_Elena_sample_H1.11.mzML;15.01.2026;M. aquaticum;120h;Herbivory 1 day;189.1;9;;5;
20260202_Elena_sample_H5.2.mzML;sample;2026-02-02T20:42:54;20260202_Elena_sample_H5.2.mzML;15.01.2026;M. aquaticum;120h;Herbivory 5 days;187.4;13;;1;
20260202_Elena_sample_H5.5.mzML;sample;2026-02-02T21:14:41;20260202_Elena_sample_H5.5.mzML;15.01.2026;M. aquaticum;120h;Herbivory 5 days;217.9;10;;4;
20260202_Elena_sample_H5.3.mzML;sample;2026-02-02T20:53:28;20260202_Elena_sample_H5.3.mzML;15.01.2026;M. aquaticum;120h;Herbivory 5 days;183.9;14;;1;
20260202_Elena_sample_H5.4.mzML;sample;2026-02-02T21:04:04;20260202_Elena_sample_H5.4.mzML;15.01.2026;M. aquaticum;120h;Herbivory 5 days;174.6;10;;2;
20260202_Elena_sample_H5.6.mzML;sample;2026-02-02T21:25:16;20260202_Elena_sample_H5.6.mzML;15.01.2026;M. aquaticum;120h;Herbivory 5 days;190.2;10;;;
20260202_Elena_sample_H5.8.mzML;sample;2026-02-02T21:46:28;20260202_Elena_sample_H5.8.mzML;15.01.2026;M. aquaticum;120h;Herbivory 5 days;184.8;12;;1;
20260202_Elena_sample_H5.7.mzML;sample;2026-02-02T21:35:51;20260202_Elena_sample_H5.7.mzML;15.01.2026;M. aquaticum;120h;Herbivory 5 days;206.8;11;;;
