id;time;status;stage_at_death;Plant_species;Treatment;Survival_to_pupa
PF1.1a;22;0;;M. aquaticum;Control;1
PF1.2a;17;0;;M. aquaticum;Control;1
PF2.1a;1;1;;M. aquaticum;Control;0
PF2.2a;17;0;;M. aquaticum;Control;1
PF3.1a;13;1;;M. aquaticum;Control;0
PF3.2a;1;1;;M. aquaticum;Control;0
PF4.1a;1;1;;M. aquaticum;Control;0
PF4.2a;17;0;;M. aquaticum;Control;1
PF5.1a;1;1;;M. aquaticum;Control;0
PF5.2a;17;0;;M. aquaticum;Control;1
PF6.1a;14;0;;M. aquaticum;Control;1
PF6.2a;1;1;;M. aquaticum;Control;0
PF7.1a;17;0;;M. aquaticum;Herbivory 5 days;1
PF7.2a;1;1;;M. aquaticum;Herbivory 5 days;0
PF8.1a;21;0;;M. aquaticum;Herbivory 5 days;1
PF8.2a;17;0;;M. aquaticum;Herbivory 5 days;1
PF9.1a;6;1;;M. aquaticum;Herbivory 5 days;0
PF9.2a;1;1;;M. aquaticum;Herbivory 5 days;0
PF10.1a;19;0;;M. aquaticum;Herbivory 5 days;1
PF10.2a;6;1;;M. aquaticum;Herbivory 5 days;0
PF11.1a;6;1;;M. aquaticum;Herbivory 5 days;0
PF11.2a;1;1;;M. aquaticum;Herbivory 5 days;0
PF12.1a;19;0;;M. aquaticum;Herbivory 5 days;1
PF12.2a;1;1;;M. aquaticum;Herbivory 5 days;0
;;;;;;
;;;;;;
;;;;;;
;;;;;;
id;time;status;stage_at_death;Plant_species;Treatment;Survival_to_pupa
PP1.1;13;1;;P. palustris;Control;0
PP1.2;8;1;;P. palustris;Control;0
PP2.1;1;1;;P. palustris;Control;0
PP2.2;22;1;;P. palustris;Control;0
PP3.1;1;1;;P. palustris;Control;0
PP3.2;1;1;;P. palustris;Control;0
PP4.1;1;1;;P. palustris;Control;0
PP4.2;1;1;;P. palustris;Control;0
PP5.1;1;1;;P. palustris;Control;0
PP5.2;1;1;;P. palustris;Control;0
PP6.1;10;1;;P. palustris;Control;0
PP6.2;1;1;;P. palustris;Control;0
PP7.1;8;1;;P. palustris;Herbivory 5 days;0
PP7.2;1;1;;P. palustris;Herbivory 5 days;0
PP8.1;1;1;;P. palustris;Herbivory 5 days;0
PP8.2;1;1;;P. palustris;Herbivory 5 days;0
PP9.1;1;1;;P. palustris;Herbivory 5 days;0
PP9.2;1;1;;P. palustris;Herbivory 5 days;0
PP10.1;1;1;;P. palustris;Herbivory 5 days;0
PP10.2;1;1;;P. palustris;Herbivory 5 days;0
PP11.1;1;1;;P. palustris;Herbivory 5 days;0
PP11.2;1;1;;P. palustris;Herbivory 5 days;0
PP12.1;12;0;;P. palustris;Herbivory 5 days;1
PP12.2;1;1;;P. palustris;Herbivory 5 days;0
;;;;;;
;;;;;;
;;;;;;
;;;;;;
id;time;status;stage_at_death;Plant_species;Treatment;Survival_to_pupa
MHi1.1;18;0;;M. hippuroides;Control;1
MHi1.2;1;1;;M. hippuroides;Control;0
MHi2.1;1;1;;M. hippuroides;Control;0
MHi2.2;1;1;;M. hippuroides;Control;0
MHi3.1;1;1;;M. hippuroides;Control;0
MHi3.2;1;1;;M. hippuroides;Control;0
MHi4.1;16;0;;M. hippuroides;Control;1
MHi4.2;15;0;;M. hippuroides;Control;1
MHi5.1;19;0;;M. hippuroides;Control;1
MHi5.2;1;1;;M. hippuroides;Control;0
MHi6.1;22;0;;M. hippuroides;Control;1
MHi6.2;1;1;;M. hippuroides;Control;0
MHi7.1;1;1;;M. hippuroides;Herbivory 5 days;0
MHi7.2;1;1;;M. hippuroides;Herbivory 5 days;0
MHi8.1;1;1;;M. hippuroides;Herbivory 5 days;0
MHi8.2;13;1;;M. hippuroides;Herbivory 5 days;0
MHi9.1;1;1;;M. hippuroides;Herbivory 5 days;0
MHi9.2;6;1;;M. hippuroides;Herbivory 5 days;0
MHi10.1;1;1;;M. hippuroides;Herbivory 5 days;0
