Sample;Plant_species;Survival;Treatment;Batch
PF1.1a;M. aquaticum;1;Control;1
PF1.2a;M. aquaticum;1;Control;1
PF2.1a;M. aquaticum;0;Control;1
PF2.2a;M. aquaticum;1;Control;1
PF3.1a;M. aquaticum;0;Control;1
PF3.2a;M. aquaticum;0;Control;1
PF4.1a;M. aquaticum;0;Control;1
PF4.2a;M. aquaticum;1;Control;1
PF5.1a;M. aquaticum;0;Control;1
PF5.2a;M. aquaticum;1;Control;1
PF6.1a;M. aquaticum;1;Control;1
PF6.2a;M. aquaticum;0;Control;1
PF7.1a;M. aquaticum;1;Induced;1
PF7.2a;M. aquaticum;0;Induced;1
PF8.1a;M. aquaticum;1;Induced;1
PF8.2a;M. aquaticum;1;Induced;1
PF9.1a;M. aquaticum;0;Induced;1
PF9.2a;M. aquaticum;0;Induced;1
PF10.1a;M. aquaticum;1;Induced;1
PF10.2a;M. aquaticum;0;Induced;1
PF11.1a;M. aquaticum;0;Induced;1
PF11.2a;M. aquaticum;0;Induced;1
PF12.1a;M. aquaticum;1;Induced;1
PF12.2a;M. aquaticum;0;Induced;1
MHi1.1;M. hippuroides;1;Control;1
MHi1.2;M. hippuroides;0;Control;1
MHi2.1;M. hippuroides;0;Control;1
MHi2.2;M. hippuroides;0;Control;1
MHi3.1;M. hippuroides;0;Control;1
MHi3.2;M. hippuroides;0;Control;1
MHi4.1;M. hippuroides;1;Control;1
MHi4.2;M. hippuroides;1;Control;1
MHi5.1;M. hippuroides;1;Control;1
MHi5.2;M. hippuroides;0;Control;1
MHi6.1;M. hippuroides;1;Control;1
MHi6.2;M. hippuroides;0;Control;1
MHi7.1;M. hippuroides;0;Induced;1
MHi7.2;M. hippuroides;0;Induced;1
MHi8.1;M. hippuroides;0;Induced;1
MHi8.2;M. hippuroides;0;Induced;1
MHi9.1;M. hippuroides;0;Induced;1
MHi9.2;M. hippuroides;0;Induced;1
MHi10.1;M. hippuroides;0;Induced;1
MHi10.2;M. hippuroides;0;Induced;1
MHi11.1;M. hippuroides;0;Induced;1
MHi11.2;M. hippuroides;0;Induced;1
MHi12.1;M. hippuroides;0;Induced;1
MHi12.2;M. hippuroides;0;Induced;1
MHi1.2a;M. hippuroides;0;Control;3
MHi2.1a;M. hippuroides;1;Control;3
MHi2.2a;M. hippuroides;1;Control;3
MHi3.1a;M. hippuroides;1;Control;3
MHi3.2a;M. hippuroides;1;Control;3
MHi4.1a;M. hippuroides;0;Control;3
MHi4.2a;M. hippuroides;0;Control;3
MHi5.1a;M. hippuroides;1;Control;3
MHi6.1a;M. hippuroides;0;Control;3
