row ID;row m/z;row retention time;250924_EI_QC_1_nr8.mzML Peak area;250924_EI_QC_2_nr8.mzML Peak area;250924_EI_QC_3_nr8.mzML Peak area;250924_EI_QC_4_nr8.mzML Peak area;250924_EI_QC_5_nr8.mzML Peak area;250924_EI_sample_10_nr8.mzML Peak area;250924_EI_sample_11_nr8.mzML Peak area;250924_EI_sample_12_nr8.mzML Peak area;250924_EI_sample_13_nr8.mzML Peak area;250924_EI_sample_14_nr8.mzML Peak area;250924_EI_sample_15_nr8.mzML Peak area;250924_EI_sample_16_nr8.mzML Peak area;250924_EI_sample_17_nr8.mzML Peak area;250924_EI_sample_18_nr8.mzML Peak area;250924_EI_sample_19_nr8.mzML Peak area;250924_EI_sample_1_nr8.mzML Peak area;250924_EI_sample_20_nr8.mzML Peak area;250924_EI_sample_21_nr8.mzML Peak area;250924_EI_sample_22_nr8.mzML Peak area;250924_EI_sample_23_nr8.mzML Peak area;250924_EI_sample_24_nr8.mzML Peak area;250924_EI_sample_25_nr8.mzML Peak area;250924_EI_sample_26_nr8.mzML Peak area;250924_EI_sample_27_nr8.mzML Peak area;250924_EI_sample_28_nr8.mzML Peak area;250924_EI_sample_29_nr8.mzML Peak area;250924_EI_sample_2_nr8.mzML Peak area;250924_EI_sample_30_nr8.mzML Peak area;250924_EI_sample_31_nr8.mzML Peak area;250924_EI_sample_32_nr8.mzML Peak area;250924_EI_sample_33_nr8.mzML Peak area;250924_EI_sample_34_nr8.mzML Peak area;250924_EI_sample_35_nr8.mzML Peak area;250924_EI_sample_36_nr8.mzML Peak area;250924_EI_sample_37_nr8.mzML Peak area;250924_EI_sample_38_nr8.mzML Peak area;250924_EI_sample_39_nr8.mzML Peak area;250924_EI_sample_3_nr8.mzML Peak area;250924_EI_sample_40_nr8.mzML Peak area;250924_EI_sample_41_nr8.mzML Peak area;250924_EI_sample_42_nr8.mzML Peak area;250924_EI_sample_43_nr8.mzML Peak area;250924_EI_sample_44_nr8.mzML Peak area;250924_EI_sample_45_nr8.mzML Peak area;250924_EI_sample_46_nr8.mzML Peak area;250924_EI_sample_47_nr8.mzML Peak area;250924_EI_sample_48_nr8.mzML Peak area;250924_EI_sample_4_nr8.mzML Peak area;250924_EI_sample_5_nr8.mzML Peak area;250924_EI_sample_6_nr8.mzML Peak area;250924_EI_sample_7_nr8.mzML Peak area;250924_EI_sample_8_nr8.mzML Peak area;250924_EI_sample_9_nr8.mzML Peak area;250924_EI_sample_PF_10_1_nr8.mzML Peak area;250924_EI_sample_PF_10_2_nr8.mzML Peak area;250924_EI_sample_PF_12_1_nr8.mzML Peak area;250924_EI_sample_PF_12_2_nr8.mzML Peak area;250924_EI_sample_PF_1_1_nr8.mzML Peak area;250924_EI_sample_PF_1_2_nr8.mzML Peak area;250924_EI_sample_PF_2_1_nr8.mzML Peak area;250924_EI_sample_PF_2_2_nr8.mzML Peak area;250924_EI_sample_PF_3_1_nr8.mzML Peak area;250924_EI_sample_PF_3_2_nr8.mzML Peak area;250924_EI_sample_PF_4_1_nr8.mzML Peak area;250924_EI_sample_PF_4_2_nr8.mzML Peak area;250924_EI_sample_PF_5_1_nr8.mzML Peak area;250924_EI_sample_PF_5_2_nr8.mzML Peak area;250924_EI_sample_PF_6_1_nr8.mzML Peak area;250924_EI_sample_PF_6_2_nr8.mzML Peak area;250924_EI_sample_PF_7_1_nr8.mzML Peak area;250924_EI_sample_PF_7_2_nr8.mzML Peak area;250924_EI_sample_PF_8_1_nr8.mzML Peak area;250924_EI_sample_PF_8_2_nr8.mzML Peak area;250924_EI_sample_PF_9_1_nr8.mzML Peak area;250924_EI_sample_PF_9_2_nr8.mzML Peak area
11;498.0672432898338;0.9458167;0;0;0;0;0;0;0;0;0;844.8515;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1069.1451;0;0;1072.2577;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;169.9895945056183;0.94885;1932.7461;2054.4302;0;0;0;3605.2185;3402.5764;0;0;2846.274;2750.863;3555.0308;2836.7036;1627.0892;0;2144.3335;2557.8726;2559.08;0;0;0;0;0;0;0;0;0;1516.7915;0;0;0;0;0;0;0;0;0;1272.6411;0;0;0;0;0;0;0;0;0;3084.172;2726.3992;3087.209;3098.653;3056.2183;0;1773.2122;2807.7336;0;3003.125;2246.9211;2304.545;0;0;2758.6284;2603.7402;0;0;2097.9922;0;2033.1367;1696.7837;0;0;2362.9675;0;2371.6667;0
29;396.03484884567956;0.98595333;1205.3773;1153.7996;1014.8794;1047.007;924.2162;897.7586;898.6747;1135.2926;380.4642;1972.2883;950.17737;655.3595;696.14;1647.7822;1552.8577;2183.8428;993.0368;900.229;913.3796;1754.7078;1200.7279;1088.8057;0;0;0;480.5762;1465.2681;0;691.4111;425.3884;0;0;691.30914;0;550.60986;0;652.0098;1685.6819;543.19196;432.906;520.2754;482.0164;351.46765;843.2553;465.78708;960.63;828.7136;0;1784.5021;854.98956;876.43207;1372.8435;1450.8417;1075.2875;0;690.15027;954.70233;912.5053;603.92194;936.857;734.9452;0;342.74048;507.9926;0;647.1871;0;476.90625;1334.7384;0;800.9582;0;851.6129;431.10574;0
30;558.0883046158658;0.98656034;799.08777;736.6626;654.89655;670.7819;649.4281;664.67645;582.45544;786.78986;0;1473.6315;663.6817;462.42105;468.40622;1213.5476;1135.0739;1543.8815;669.511;634.74054;651.19183;1265.2828;817.24243;618.55176;0;0;0;0;978.9013;0;0;0;0;0;458.8916;0;357.739;0;412.9711;1214.8295;368.0394;284.97617;350.18774;0;0;588.08496;301.84824;676.8135;589.5763;0;1373.7084;607.4208;601.9595;1011.2466;1033.3943;749.6008;0;518.6939;632.9157;586.0685;421.5353;652.8352;531.84595;0;0;0;0;424.4781;0;317.42517;952.2653;0;569.096;0;625.00397;0;0
39;136.06184251582062;1.0501711;9320.551;9991.335;10245.584;10193.3125;9771.235;21991.127;18782.256;16534.852;12337.484;7339.5317;7079.796;7144.3213;11619.474;13502.696;12584.786;7819.9795;14659.152;7607.7773;11345.219;17360.752;15665.786;12157.251;7821.6157;9120.777;11180.103;6193.0347;3033.3557;10207.554;8531.184;12976.154;16016.668;9996.245;13250.372;12105.155;8416.549;12589.289;16587.494;5982.723;17190.674;11283.565;8048.915;3502.0095;9791.511;9844.625;9712.163;13080.204;8180.3765;22097.436;13861.575;7956.2905;12167.585;7779.1533;5743.629;7167.9644;14666.205;9140.227;14976.126;8486.488;9003.345;14292.272;12063.763;13842.965;13544.598;12464.968;13245.232;11455.774;14874.305;22798.46;5190.789;7630.899;4947.9937;13032.692;5510.667;13342.018;13207.55
45;352.0456565870336;1.1341422;2542.472;2534.8396;2457.2363;2492.844;2335.1858;2063.2021;0;0;1086.481;4314.478;2183.232;2075.496;1743.0786;3295.4988;2703.5352;4859.335;2668.375;2933.2927;2058.9678;0;0;1235.8038;1187.2493;1197.7748;1252.2571;2689.6316;2762.476;1149.1835;1017.609;0;0;1031.9913;1168.3807;0;1118.5529;1193.4227;1290.2598;3949.0183;1249.3188;1055.943;0;1656.1362;0;1144.6831;1160.4945;1340.1285;1809.1675;0;5854.684;2060.8289;1915.23;5509.13;3136.626;2216.1602;0;3292.5315;2544.8518;2441.3108;1511.397;1627.8035;1795.7921;1316.265;1702.7413;1079.9723;1351.6582;1058.5573;0;941.233;2251.7349;1418.0894;1879.409;1009.561;2693.6304;1305.6506;0
59;318.0035868811734;1.2088287;2553.2583;2508.7551;2549.068;2504.0632;2356.7568;2066.9421;2550.3555;2471.8538;2194.8306;1946.6707;2216.7056;2024.3989;2197.946;2245.6572;2554.1135;2118.2803;2415.8691;2208.3926;2226.3452;2645.1594;2862.4666;2552.2246;2402.5212;3039.543;2720.2783;3178.3887;2065.5552;2723.7263;2723.9653;2850.5981;2802.0254;2504.387;2505.8962;2842.4653;2751.3562;2553.6362;2699.8188;2503.2715;2677.3638;2607.6843;2234.7244;2466.392;2620.1624;2572.512;2692.8057;2633.257;2901.642;1679.1711;1734.5022;1699.2415;2053.719;2031.01;2218.1948;2534.0925;2935.99;2842.3242;2440.3748;2620.7104;2568.8223;3159.6436;2509.8992;2413.6016;2191.7349;2552.7844;2255.2334;2652.3516;2472.788;2367.976;2368.7805;2443.5134;2782.0024;2449.6155;2440.7688;2457.8892;2483.3303
64;308.0916128081712;1.2207229;4164.9365;4316.9136;3843.487;3289.661;2870.1858;9134.919;0;0;5782.2393;4453.5312;14317.426;24438.553;2971.0251;11721.2295;1239.669;3092.3645;1594.9445;3439.3936;2832.317;0;1104.7244;2748.9565;4025.9316;1058.7549;1616.0806;2124.8445;11796.271;0;0;0;0;0;820.6339;0;713.96826;637.5236;0;14606.287;0;0;0;1591.738;0;0;0;0;0;0;9873.784;12474.985;9236.286;22309.203;14829.596;1118.7944;0;792.9235;4149.3535;1726.757;1255.992;0;1384.4308;676.99243;0;0;2165.7607;2361.476;0;0;4352.8438;3960.5066;2706.062;2194.9207;775.5272;0;0
72;245.94616081805816;1.2909423;0;0;0;717.5599;851.11115;0;0;0;0;0;829.01575;0;873.1808;0;0;0;0;0;0;0;0;0;0;0;0;0;0;668.10364;0;685.963;0;659.98987;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;777.6212;0;851.4519;0;0;0;0;0;0;0;0;811.39795;559.9282;0;0;0;717.20935;0;0;649.40704;0;729.03436;0;0;0;0;0;590.5473
90;201.95586425271205;1.3059814;14208.689;13434.113;13587.818;13813.403;13899.541;13112.2;12632.053;10513.457;12046.386;15205.824;14445.284;13600.851;14777.692;7787.503;8859.346;13720.592;13238.886;15043.522;11118.609;11850.224;9193.594;8041.645;7418.8477;8596.175;8338.054;6827.081;10023.936;10065.478;10827.248;10198.485;9792.245;10009.3;8243.987;6970.1553;6588.668;8530.443;7078.074;5280.7705;8848.554;5764.4976;6678.947;4995.872;8824.108;5769.478;8889.584;7305.66;7971.906;11517.363;10798.071;16985.826;16357.239;13660.226;9116.466;10259.463;9861.905;14221.604;16914.209;18651.244;12261.806;11708.247;11734.044;18637.12;12688.312;10617.159;9849.793;12122.93;13166.866;9975.75;11414.304;15813.962;6773.8726;11584.421;11617.348;11839.614;11542.339
95;409.0198445570264;1.3080734;2199.1067;2481.7246;2561.3872;2343.506;2699.6626;2305.7524;2495.6252;1669.2891;1555.3245;4655.3823;2511.9805;3676.4082;2673.7034;0;0;2245.3848;2660.301;4172.9644;3357.5713;1929.4856;1078.9585;0;0;1200.3319;832.8399;542.51886;1337.6511;1273.1573;1898.3975;1201.5479;1144.2705;1333.3773;0;0;608.0073;0;0;0;1007.2514;473.71112;1025.989;0;0;0;888.0849;461.2891;0;1618.0835;1890.181;3952.3672;3922.366;3800.429;971.41016;1401.1625;1172.3943;3112.2695;7730.807;5300.8535;1963.0145;1471.4076;0;5040.764;2581.8618;1595.884;1515.6079;2221.4834;2340.024;0;1566.0492;2686.4485;0;1894.4121;1567.0295;1846.1172;1584.5477
96;215.01619161316648;1.3100262;3133.1416;4446.5576;4361.9155;4262.5083;5151.374;3976.2246;4346.4717;2501.2708;2572.7375;7256.05;4083.0752;5531.6387;4679.3574;1269.5763;1783.1694;3343.2893;4110.517;5928.142;2886.2466;3568.0205;2308.5017;1566.906;1299.0135;1619.2278;1612.8165;995.94275;1816.0802;2071.006;2734.974;2304.6167;2009.5841;2265.6963;1634.3644;1063.4596;946.4001;1525.0748;1153.802;574.2536;1735.127;588.6564;805.91534;490.17746;1346.4423;893.27765;1372.5854;951.1321;1375.4043;0;2659.6648;5891.362;5140.9404;5011.005;1582.4454;2531.8674;1927.2136;5089.604;11362.014;9014.33;3520.9265;2291.3574;3002.8862;7940.1387;3829.8452;2695.504;2340.435;2992.6184;3344.7888;2198.3218;2690.6982;4960.763;1092.2688;2960.0408;2931.881;3298.226;2732.909
