feature_id;feature_mz;feature_rt;candidate_structure_tax_npc_01pat;feature_pred_tax_npc_01pat_val;feature_pred_tax_npc_01pat_score;candidate_structure_tax_npc_02sup;feature_pred_tax_npc_02sup_val;feature_pred_tax_npc_02sup_score;candidate_structure_tax_npc_03cla;feature_pred_tax_npc_03cla_val;feature_pred_tax_npc_03cla_score;consensus_class;structure_name;candidate_structure_organism_occurrence_closest;confidence;score_final;npc_pathway;npc_superclass;npc_class;color_pathway;color_superclass;color_class
1;258.005837363039;1.0151731;Carbohydrates;Carbohydrates;1;Saccharides;Saccharides;1;Disaccharides $ Polysaccharides;Disaccharides;0.992;Disaccharides;Umbelliferose;Magnoliopsida;high;0.684794689597738;Carbohydrates;Saccharides;Disaccharides;#F1A340;#F6C383;#F9D8AE
2;447.05897966019;1.0235258;NA;Amino acids and Peptides;0.67;Nucleosides;Nucleosides;0.726;NA;Purine nucleosides;0.474;Nucleosides;NA;NA;NA;NA;Unclassified;Nucleosides;Unclassified;#7570B3;#9894C6;#BCB9DA
3;309.071083981236;1.0310789;notClassified;Amino acids and Peptides;0.83;notClassified;Fatty amides;0.531;notClassified;N-acyl amines;0.412;notClassified;NA;;NA;0.067976547497375;Unclassified;Unclassified;Unclassified;#000000;#404040;#838383
4;323.042324193015;1.0373725;notClassified;Alkaloids;0.987;notClassified;Pseudoalkaloids (transamidation);0.888;notClassified;Purine alkaloids;0.971;notClassified;Guanine;Biota;high;0.868379096331902;Unclassified;Unclassified;Unclassified;#000000;#404040;#838383
5;265.974327900252;1.0402786;notClassified;Shikimates and Phenylpropanoids;0.191904642412691;notClassified;Small peptides;0.204534078903593;notClassified;notClassified;0.142790486558616;notClassified;NA;;NA;0.127956031174988;Unclassified;Unclassified;Unclassified;#000000;#404040;#838383
6;287.11003405603;1.0434241;Terpenoids;Amino acids and Peptides;0.996;Sesquiterpenoids;Amino acid glycosides;0.999;Germacrane sesquiterpenoids;Glucosinolates;0.697;Germacrane sesquiterpenoids;Glechomafuran;Magnoliopsida;NA;0.438990260084215;Terpenoids;Sesquiterpenoids;Germacrane sesquiterpenoids;#008837;#4EAC74;#99CFAF
7;746.028427454791;1.0523833;NA;Alkaloids;0.262;NA;Nucleosides;0.244;NA;Purine alkaloids;0.268;NA;NA;NA;NA;NA;Unclassified;Unclassified;Unclassified;#000000;#404040;#838383
8;160.075581450433;1.082045;Alkaloids;Shikimates and Phenylpropanoids;0.634421260467751;Tryptophan alkaloids;Small peptides;0.715162063881591;Simple indole alkaloids;Cinnamic acids and derivatives;0.549831759072051;Simple indole alkaloids;Indole-3-acetaldehyde $ 2-(1H-indol-3-yl)acetaldehyde $ Indoleacetaldehyde;Magnoliopsida;NA;0.530829806703785;Alkaloids;Tryptophan alkaloids;Simple indole alkaloids;#2C7BB6;#7EAED2;#B3CFE5
9;315.073248598488;1.0858757;Shikimates and Phenylpropanoids;Alkaloids;0.972;Coumarins;Anthranilic acid alkaloids;0.577;Isocoumarins;Anthranillic acid derivatives;0.04;Isocoumarins;Altenuene;Magnoliopsida;high;0.559207306395377;Shikimates and Phenylpropanoids;Coumarins;Isocoumarins;#7B3294;#86439D;#A16DB3
10;458.160711308625;1.126035;NA;Shikimates and Phenylpropanoids;0.337500451881272;NA;Flavonoids;0.234423809005069;NA;notClassified;0.217626731677905;NA;NA;NA;NA;NA;Unclassified;Unclassified;Unclassified;#000000;#404040;#838383
11;120.080563151373;1.1336455;Alkaloids;Amino acids and Peptides;1;Tyrosine alkaloids;Small peptides;1;Phenylethylamines;Dipeptides;0.999;Phenylethylamines;2-Hydroxyphenethylamine $ 2-Amino-1-phenylethanol $ Phenylethanolaminium;Magnoliopsida;NA;0.56305334288895;Alkaloids;Tyrosine alkaloids;Phenylethylamines;#2C7BB6;#84B2D5;#B9D3E7
12;166.086122901361;1.1336695;Amino acids and Peptides $ Shikimates and Phenylpropanoids;Carbohydrates;0.971;Small peptides;Nucleosides;0.937;Aminoacids;Pyrimidine nucleosides;0.93;Aminoacids;L-Phenylalanine $ Endorphenyl $ (2S)-2-azaniumyl-3-phenylpropanoate $ Phenylalanine;Biota;high;0.981403827441351;Amino acids and Peptides;Small peptides;Aminoacids;#D73027;#E57873;#E88681
13;300.105626018243;1.1348959;Alkaloids;Alkaloids;0.993;Nicotinic acid alkaloids;Nicotinic acid alkaloids;0.994;Pyridine alkaloids;Pyridine alkaloids;0.994;Pyridine alkaloids;Nicotinic acid $ Hydron;;;;;;;;;
14;915.197799819958;1.1357298;Shikimates and Phenylpropanoids;Shikimates and Phenylpropanoids;0.412195022237825;Flavonoids;Flavonoids;0.412195022237825;Proanthocyanins;Proanthocyanins;0.357235685939449;Proanthocyanins;Gallocatechin-(4alpha->8)-gallocatechin-(4alpha->8)-gallocatechin;;NA;0.247010976753557;Shikimates and Phenylpropanoids;Flavonoids;Proanthocyanins;#7B3294;#9255A7;#CDB2D7
15;208.133309536688;1.1575898;Alkaloids $ Shikimates and Phenylpropanoids;Shikimates and Phenylpropanoids;0.347200369543444;notClassified;notClassified;0.555520591269511;notClassified;notClassified;0.555520591269511;Alkaloids;Benzoylcholine;Magnoliopsida;NA;0.561751964093463;Alkaloids;Unclassified;Unclassified;#2C7BB6;#8BB6D7;#D1E2EF
16;284.110548681937;1.1599915;notClassified;Amino acids and Peptides;0.719;notClassified;Small peptides;0.542;notClassified;Aminoacids;0.708;notClassified;NA;;NA;0.114314823066321;Unclassified;Unclassified;Unclassified;#000000;#404040;#838383
17;820.120347873313;1.1631597;notClassified;Shikimates and Phenylpropanoids;0.925;notClassified;Phenylpropanoids (C6-C3);0.933;notClassified;Cinnamic acids and derivatives;0.916;notClassified;NA;;NA;0.0721146901254817;Unclassified;Unclassified;Unclassified;#000000;#404040;#838383
18;730.034465836068;1.1788299;NA;Amino acids and Peptides;0.301;NA;Nucleosides;0.161;NA;Aminoacids;0.114;NA;NA;NA;NA;NA;Unclassified;Unclassified;Unclassified;#000000;#404040;#838383
19;705.076260100792;1.1801221;NA;notClassified;0.0313783977870638;NA;notClassified;0.0313783977870638;NA;notClassified;0.0313783977870638;NA;NA;NA;NA;NA;Unclassified;Unclassified;Unclassified;#000000;#404040;#838383
20;443.09732368021;1.183644;Shikimates and Phenylpropanoids;Amino acids and Peptides;0.989;Flavonoids;Small peptides;0.999;Flavan-3-ols;Tripeptides;0.998;Flavan-3-ols;Catechin 4'-O-gallate;;high;0.271258731572713;Shikimates and Phenylpropanoids;Flavonoids;Flavan-3-ols;#7B3294;#9255A7;#AF82BE
21;425.086633692788;1.185698;Shikimates and Phenylpropanoids;Amino acids and Peptides;1;Flavonoids;Small peptides;1;Dihydroflavonols;Dipeptides;0.999;Dihydroflavonols;4-hydroxy-3-[2-hydroxy-5-[(2S,3S)-3,5,7-trihydroxy-4-oxo-2,3-dihydrochromen-2-yl]phenyl]benzoic acid;;NA;0.273692708664757;Shikimates and Phenylpropanoids;Flavonoids;Dihydroflavonols;#7B3294;#9255A7;#A979BA
22;867.212691373344;1.1861405;Shikimates and Phenylpropanoids;Alkaloids;0.6;Flavonoids;Ornithine alkaloids;0.298;Proanthocyanins;Pyrrolidine alkaloids;0.262;Proanthocyanins;Procyanidin C1;Saxifragales;NA;0.498628817375869;Shikimates and Phenylpropanoids;Flavonoids;Proanthocyanins;#7B3294;#9255A7;#CDB2D7
23;342.115833960078;1.1871374;notClassified;Amino acids and Peptides;0.832;notClassified;Small peptides;0.933;notClassified;Dipeptides;0.54;notClassified;NA;;NA;0.120198221380318;Unclassified;Unclassified;Unclassified;#000000;#404040;#838383
